Protein	S.cerevisiae	A.fumigatus	C.neoformans	C.parapsilosis	F.graminearum	S.bayanus	L.kluyveri	S.mikatae	S.paradoxus	M.oryzae	N.crassa	S.pombe	A.nidulans	C.glabrata	C.albicans	N.castellii	N.discreta	N.tetrasperma	S.kudriavzevii
NP_013098.1	0.0143247329871	NA	NA	NA	NA	0.018669802237499998	0.0030520763516399996	0.018669802237499998	0.0143247329871	NA	NA	NA	NA	0.0146100075791	NA	0.018939048650499998	NA	NA	0.00365673645259
NP_015134.1	0.0418914975933	NA	NA	0.016583130773400002	NA	0.00982547029473	0.0280507103364	0.00982547029473	0.0418914975933	NA	NA	0.129337692039	NA	0.0147545663787	0.0234247607773	0.0033504427956399995	NA	NA	0.0635254451125
NP_013728.1	0.0160568218677	0.0179967441573	0.013371221166299999	0.012690117562	0.026489296223800002	0.0147771033302	0.0655614020933	0.0147771033302	0.0160568218677	0.00308220135777	0.13074920653	0.052578579230000005	0.005498686371810001	0.012041074349	0.0260673112796	0.013964512032999999	0.13074920653	0.13074920653	0.0147338289716
NP_011567.3	0.0800021308802	0.012400111066299999	NA	0.006017120519850001	0.041137600733	0.156534859916	0.0166934690613	0.156534859916	0.0800021308802	0.00163299223494	0.0783217413406	NA	0.025169967498900003	0.012436930151200001	0.0616092153763	0.0386869150047	0.0783217413406	0.0783217413406	0.053971942924
NP_010074.1	0.021620962009200002	NA	0.00767587630656	NA	NA	0.0379846545625	0.0217775374079	0.0379846545625	0.021620962009200002	NA	NA	NA	NA	0.035393056343300006	NA	0.0249373617792	NA	NA	0.0378888966557
NP_013304.1	0.0143867723515	0.00746013957709	0.0127711043881	0.010709092316900001	0.0532592651022	0.020754344581799998	0.00756532572905	0.020754344581799998	0.0143867723515	0.00917211767453	0.036930829268900005	0.019823344316	0.007537297121939999	0.0332543674572	0.027285580448199998	0.0070738329738800005	0.036930829268900005	0.036930829268900005	0.0047086587102
NP_013283.1	0.0321492314335	0.021524702016500002	0.028334689745400002	0.0135501769919	0.032631591023400006	0.010911589397799999	0.0009607302085680001	0.010911589397799999	0.0321492314335	0.0068422293347899996	0.0732936437893	0.0750664179048	0.0107844610134	0.00911217952717	0.0249963370078	0.0199661858383	0.0732936437893	0.0732936437893	0.0266873661646
NP_009913.2	0.008901758686509999	NA	0.026739093693900002	0.0300098977809	NA	0.0210488934823	0.0675250959132	0.0210488934823	0.008901758686509999	NA	NA	0.0736067189124	NA	0.030172961487099997	0.0552346999357	0.0249795622704	NA	NA	0.0274829835128
NP_010277.1	0.00838920803292	0.00789240705926	0.00914315976512	0.00965339247358	0.0020695978683	0.013978082119	0.0283501388554	0.013978082119	0.00838920803292	0.00146643169092	0.039933696520800005	0.0442516940208	0.00434861255466	0.0188774187975	0.018186145126200003	0.0468387209304	0.039933696520800005	0.039933696520800005	0.0442633721386
NP_009712.1	0.0273138053584	0.026210813330099995	0.00487265614494	0.0328952096265	0.0422115832539	0.038615347279400004	0.0102442335125	0.038615347279400004	0.0273138053584	0.00357519446894	0.056253681917399996	0.0609886592884	0.018499217970599998	0.0269664344214	0.0194630540328	0.00646261859759	0.056253681917399996	0.056253681917399996	0.0199358026801
NP_014548.1	0.020634783799199998	0.037340317747199994	0.0100909794204	0.0440467070462	0.0194381217452	0.040565490780800004	0.0220365130432	0.040565490780800004	0.020634783799199998	0.008457515131399999	0.0389594723225	0.061290936274899996	0.0124197692893	0.0552597735164	0.0123190709721	0.0452777712673	0.0389594723225	0.0389594723225	0.016606850547
NP_010448.1	0.019962281249400003	0.00482141825191	0.01196761398	0.021420996390100002	0.017269036294700002	0.006209114195300001	0.0416558091395	0.006209114195300001	0.019962281249400003	0.0021050381672800002	0.0571775273726	0.0423154935001	0.017595852930700002	0.0383278220444	0.0195613732537	0.00442582125733	0.0571775273726	0.0571775273726	0.0237900398927
NP_010818.1	0.0107456639377	0.0335522746979	0.0110097362887	0.0334833453778	0.0479356280183	0.0498532507061	0.0858245068595	0.0498532507061	0.0107456639377	0.006662440335189999	0.0925863048332	0.015609167899799999	0.015577586009799999	0.00493582796474	0.0148589051259	0.0517625069221	0.0925863048332	0.0925863048332	0.0113523779661
