Protein_1	Protein_2	Type	Score
NP_011832.1	NP_014718.1	binding	945
NP_010786.3	NP_014624.1	binding	720
NP_014565.2	NP_015113.1	binding	900
NP_009551.2	NP_013298.1	binding	968
NP_010207.1	NP_014377.1	binding	900
NP_010276.3	NP_013228.1	binding	998
NP_010372.3	NP_011437.3	binding	900
NP_009984.1	NP_011605.1	binding	336
NP_009984.1	NP_010653.1	binding	606
NP_010514.3	NP_014177.1	binding	912
NP_011020.3	NP_116659.1	binding	985
NP_011586.1	NP_015156.1	binding	926
NP_014315.1	NP_015106.1	binding	293
NP_010125.1	NP_013105.1	binding	659
NP_014262.3	NP_015107.1	binding	267
NP_009637.1	NP_116696.2	binding	284
NP_011604.3	NP_011956.1	binding	361
NP_011762.1	NP_015435.1	binding	948
NP_012035.1	NP_012203.1	binding	915
NP_010482.3	NP_011280.1	binding	307
NP_012923.3	NP_014262.3	binding	928
NP_010587.1	NP_015432.1	binding	996
NP_009984.1	NP_010585.3	binding	900
NP_010254.1	NP_012243.3	binding	173
NP_011780.3	NP_015228.1	binding	297
NP_013066.1	NP_015335.1	binding	729
NP_010938.1	NP_015433.1	binding	985
NP_010877.3	NP_014003.1	binding	618
NP_010133.1	NP_010737.1	binding	985
NP_009475.1	NP_012712.1	binding	270
NP_010611.3	NP_015313.1	binding	900
NP_011392.1	NP_011372.3	binding	321
NP_012845.1	NP_014154.1	binding	288
NP_010585.3	NP_014017.1	binding	908
NP_116674.2	NP_014506.1	binding	606
NP_013502.3	NP_014643.1	binding	319
NP_013486.3	NP_015165.1	binding	925
NP_011774.1	NP_014551.1	binding	751
NP_011068.1	NP_013264.1	binding	309
NP_014262.3	NP_014788.1	binding	278
NP_010946.3	NP_013317.1	binding	267
NP_009990.1	NP_012270.1	binding	900
NP_010223.1	NP_013727.1	binding	900
NP_010674.3	NP_011774.1	binding	248
NP_009685.3	NP_010863.1	binding	980
NP_010722.3	NP_013564.1	binding	983
NP_011668.3	NP_012056.1	binding	447
NP_116629.1	NP_014132.1	binding	172
NP_009935.1	NP_011309.1	binding	635
NP_010597.3	NP_011308.1	binding	921
NP_010345.3	NP_014451.1	binding	900
NP_009351.1	NP_010606.1	binding	384
NP_012913.3	NP_013248.1	binding	923
NP_014297.3	NP_014450.3	binding	808
NP_010167.1	NP_010622.1	binding	254
NP_012466.1	NP_013440.1	binding	232
NP_010172.1	NP_011711.3	binding	954
NP_012524.3	NP_013298.1	binding	900
NP_012710.1	NP_014025.1	binding	900
NP_013126.1	NP_013179.1	binding	988
NP_010115.1	NP_010736.3	binding	274
NP_014338.3	NP_015113.1	binding	900
NP_010877.3	NP_012218.1	binding	153
NP_009929.1	NP_014527.1	binding	821
NP_013323.1	NP_015107.1	binding	985
NP_010693.3	NP_014093.1	binding	338
NP_013703.1	NP_015513.1	binding	985
NP_010373.3	NP_013064.1	binding	808
NP_009616.1	NP_013102.1	binding	900
NP_010079.1	NP_014214.1	binding	264
NP_010786.3	NP_012725.1	binding	900
NP_009975.1	NP_011903.1	binding	831
NP_013741.1	NP_014429.3	binding	418
NP_010186.1	NP_015085.1	binding	197
NP_014405.1	NP_014818.1	binding	537
NP_013552.3	NP_015247.1	binding	910
NP_011100.1	NP_014297.3	binding	163
NP_014886.1	NP_015463.1	binding	187
NP_012598.1	NP_014663.1	binding	267
NP_009701.3	NP_014609.1	binding	319
NP_010172.1	NP_012989.3	binding	298
NP_011859.1	NP_014793.1	binding	781
NP_012039.1	NP_014633.1	binding	950
NP_010304.3	NP_015006.3	binding	910
NP_010748.3	NP_015158.1	binding	256
NP_014286.1	NP_015317.1	binding	227
NP_010611.3	NP_116654.1	binding	911
NP_010064.1	NP_011547.3	binding	336
NP_012017.1	NP_012916.1	binding	264
NP_013408.1	NP_014132.1	binding	948
NP_013408.1	NP_014132.1	binding	522
NP_011760.3	NP_013023.3	binding	428
NP_010146.1	NP_011668.3	binding	163
NP_010626.1	NP_014633.1	binding	967
NP_013764.1	NP_013811.1	binding	900
NP_011447.1	NP_011386.2	binding	554
NP_010451.3	NP_010736.3	binding	985
NP_011089.4	NP_014551.1	binding	778
NP_012845.1	NP_014015.1	binding	351
NP_009655.2	NP_012056.1	binding	234
NP_010597.3	NP_013697.1	binding	901
NP_010451.3	NP_013341.1	binding	187
NP_010304.3	NP_012524.3	binding	198
NP_014609.1	NP_014793.1	binding	224
NP_013206.1	NP_014893.1	binding	685
NP_010041.2	NP_011997.1	binding	220
NP_010622.1	NP_012151.1	binding	536
NP_116684.3	NP_014900.3	binding	671
NP_010737.1	NP_012845.1	binding	925
NP_009616.1	NP_015324.1	binding	808
NP_010132.1	NP_012357.2	binding	841
NP_011100.1	NP_015303.1	binding	248
NP_009984.1	NP_010529.3	binding	172
NP_013103.1	NP_014017.1	binding	900
NP_012039.1	NP_013513.3	binding	955
NP_013298.1	NP_015463.1	binding	985
NP_011736.1	NP_012768.1	binding	183
NP_009404.1	NP_010125.1	binding	839
NP_010372.3	NP_012916.1	binding	900
NP_014853.3	NP_015381.1	binding	966
NP_011832.1	NP_012725.1	binding	988
NP_009712.1	NP_014837.1	binding	965
NP_011280.1	NP_011575.1	binding	345
NP_009490.1	NP_010167.1	binding	172
NP_012270.1	NP_015174.1	binding	566
NP_116659.1	NP_013879.1	binding	211
NP_010447.3	NP_012845.1	binding	268
NP_010451.3	NP_013963.1	binding	985
NP_011617.1	NP_013102.1	binding	900
NP_009585.1	NP_014044.1	binding	175
NP_011308.1	NP_013204.1	binding	900
NP_009917.1	NP_013156.1	binding	948
NP_013764.1	NP_014262.3	binding	244
NP_012777.1	NP_013618.1	binding	985
NP_013298.1	NP_013764.1	binding	900
NP_012879.1	NP_014547.1	binding	985
NP_011472.1	NP_014400.1	binding	263
NP_010223.1	NP_014192.1	binding	974
NP_011516.1	NP_014784.1	binding	774
NP_013248.1	NP_015174.1	binding	952
NP_010232.1	NP_014015.1	binding	250
NP_014093.1	NP_014434.1	binding	800
NP_009872.1	NP_012779.1	binding	365
NP_010065.2	NP_015433.1	binding	336
NP_010772.1	NP_013924.1	binding	577
NP_011604.3	NP_013230.1	binding	985
NP_009404.1	NP_014986.3	binding	296
NP_011519.3	NP_011762.1	binding	361
NP_009984.1	NP_012175.1	binding	985
NP_009796.1	NP_014015.1	binding	562
NP_013077.1	NP_015187.1	binding	662
NP_009872.1	NP_011859.1	binding	256
NP_010402.3	NP_014221.3	binding	475
NP_009929.1	NP_012472.1	binding	879
NP_015071.1	NP_015335.1	binding	273
NP_014113.1	NP_014802.3	binding	643
NP_011761.3	NP_015232.1	binding	723
NP_010253.2	NP_015469.1	binding	900
NP_012530.1	NP_012505.1	binding	307
NP_010932.1	NP_012042.1	binding	643
NP_011392.1	NP_014262.3	binding	280
NP_116659.1	NP_011568.3	binding	282
NP_011617.1	NP_014217.1	binding	311
NP_014286.1	NP_014867.1	binding	985
NP_011445.1	NP_011762.1	binding	280
NP_010345.3	NP_014633.1	binding	720
NP_010888.1	NP_012779.1	binding	217
NP_010372.3	NP_116656.1	binding	900
NP_012040.1	NP_012292.3	binding	900
NP_013007.1	NP_014289.1	binding	900
NP_011314.2	NP_013763.1	binding	907
NP_009796.1	NP_010888.1	binding	258
NP_009365.1	NP_014609.1	binding	268
NP_010462.3	NP_013228.1	binding	270
NP_015335.1	NP_015435.1	binding	968
NP_013102.1	NP_013764.1	binding	910
NP_011736.1	NP_011859.1	binding	780
NP_010376.3	NP_015232.1	binding	900
NP_010017.2	NP_015006.3	binding	464
NP_010012.1	NP_010414.3	binding	327
NP_009635.1	NP_010326.1	binding	284
NP_011702.1	NP_015203.1	binding	879
NP_011957.1	NP_013298.1	binding	941
NP_010401.1	NP_011726.1	binding	152
NP_009976.1	NP_014444.1	binding	701
NP_011769.1	NP_013618.1	binding	985
NP_011467.1	NP_012190.1	binding	985
NP_012332.1	NP_015489.1	binding	254
NP_009806.3	NP_010372.3	binding	548
NP_014448.1	NP_014807.3	binding	759
NP_014619.1	NP_014609.1	binding	279
NP_012445.1	NP_015488.1	binding	750
NP_012331.1	NP_015380.1	binding	788
NP_009795.3	NP_013703.1	binding	923
NP_009365.1	NP_010877.3	binding	224
NP_010136.1	NP_014755.1	binding	571
NP_009872.1	NP_015107.1	binding	985
NP_014248.3	NP_015516.1	binding	900
NP_012220.3	NP_015315.1	binding	202
NP_010447.3	NP_014802.3	binding	905
NP_010330.1	NP_015513.1	binding	970
NP_009810.3	NP_010877.3	binding	224
NP_014045.1	NP_015433.1	binding	985
NP_009734.1	NP_015187.1	binding	903
NP_010877.3	NP_013987.1	binding	296
NP_009469.2	NP_014508.1	binding	608
NP_014324.3	NP_014930.1	binding	955
NP_013956.1	NP_015141.1	binding	301
NP_010704.1	NP_012123.1	binding	940
NP_012749.1	NP_013764.1	binding	964
NP_012138.1	NP_015317.1	binding	223
NP_011617.1	NP_013175.1	binding	911
NP_013847.1	NP_015174.1	binding	225
NP_012420.1	NP_013605.1	binding	239
NP_010402.3	NP_014434.1	binding	284
NP_015486.1	NP_015510.1	binding	978
NP_012540.3	NP_015358.1	binding	664
NP_013725.1	NP_014040.1	binding	747
NP_011519.3	NP_014853.3	binding	981
NP_010255.1	NP_014315.1	binding	406
NP_009617.3	NP_015469.1	binding	222
NP_012524.3	NP_015463.1	binding	900
NP_010617.1	NP_011517.1	binding	327
NP_012779.1	NP_014003.1	binding	258
NP_012710.1	NP_014132.1	binding	935
NP_009841.1	NP_014093.1	binding	267
NP_013502.3	NP_014621.1	binding	573
NP_012725.1	NP_013309.1	binding	921
NP_011098.3	NP_012897.3	binding	972
NP_010406.3	NP_012273.1	binding	252
NP_009827.3	NP_014793.1	binding	674
NP_012778.1	NP_014359.3	binding	951
NP_116654.1	NP_013103.1	binding	900
NP_010938.1	NP_014902.3	binding	985
NP_009810.3	NP_011903.1	binding	712
NP_012466.1	NP_014849.3	binding	895
NP_116654.1	NP_015463.1	binding	911
NP_010745.3	NP_012712.1	binding	963
NP_010652.3	NP_012584.3	binding	979
NP_009917.1	NP_015376.1	binding	286
NP_010121.1	NP_012411.1	binding	696
NP_011386.2	NP_014830.1	binding	585
NP_010128.1	NP_011604.3	binding	985
NP_013394.1	NP_015366.1	binding	219
NP_012035.1	NP_015147.1	binding	902
NP_010626.1	NP_014788.1	binding	319
NP_012602.3	NP_014547.1	binding	997
NP_012602.3	NP_014547.1	binding	522
NP_010569.3	NP_014392.3	binding	842
NP_009793.1	NP_012592.1	binding	428
NP_014338.3	NP_014451.1	binding	900
NP_011997.1	NP_012599.3	binding	417
NP_009635.1	NP_015006.3	binding	997
NP_012535.3	NP_015107.1	binding	985
NP_010372.3	NP_014849.3	binding	948
NP_013764.1	NP_015282.1	binding	900
NP_014400.1	NP_014853.3	binding	967
NP_012636.1	NP_014403.3	binding	917
NP_009992.1	NP_010339.1	binding	264
NP_009635.1	NP_015489.1	binding	884
NP_009637.1	NP_011382.1	binding	214
NP_116656.1	NP_013109.1	binding	912
NP_009370.1	NP_012035.1	binding	958
NP_012024.1	NP_012655.3	binding	197
NP_011520.2	NP_013248.1	binding	909
NP_012903.1	NP_014892.3	binding	900
NP_011848.1	NP_015425.1	binding	290
NP_010345.3	NP_013102.1	binding	928
NP_013109.1	NP_014451.1	binding	910
NP_012523.2	NP_014248.3	binding	900
NP_010413.3	NP_014227.4	binding	280
NP_011467.1	NP_014045.1	binding	985
NP_009723.3	NP_010310.1	binding	304
NP_012626.1	NP_014177.1	binding	933
NP_010462.3	NP_011517.1	binding	292
NP_011762.1	NP_015317.1	binding	227
NP_010624.3	NP_013987.1	binding	361
NP_010888.1	NP_011344.1	binding	914
NP_014192.1	NP_014093.1	binding	267
NP_010448.1	NP_012725.1	binding	163
NP_011736.1	NP_014434.1	binding	674
NP_013703.1	NP_015147.1	binding	939
NP_012883.1	NP_015323.1	binding	985
NP_012749.1	NP_014565.2	binding	910
NP_015111.1	NP_015489.1	binding	198
NP_009645.1	NP_010406.3	binding	644
NP_011604.3	NP_015463.1	binding	985
NP_009810.3	NP_013866.1	binding	361
NP_012779.1	NP_015470.1	binding	842
NP_012036.1	NP_014227.4	binding	998
NP_012569.1	NP_015513.1	binding	924
NP_010136.1	NP_010524.3	binding	985
NP_013309.1	NP_015106.1	binding	988
NP_010717.1	NP_013725.1	binding	764
NP_010253.2	NP_014689.1	binding	910
NP_013064.1	NP_014802.3	binding	905
NP_010682.3	NP_012777.1	binding	985
NP_011734.3	NP_014689.1	binding	910
NP_011634.1	NP_013604.1	binding	311
NP_010466.3	NP_116687.1	binding	297
NP_012626.1	NP_015432.1	binding	998
NP_014192.1	NP_014788.1	binding	969
NP_010877.3	NP_012586.1	binding	913
NP_012472.1	NP_012727.1	binding	574
NP_013298.1	NP_014267.1	binding	900
NP_011568.3	NP_013866.1	binding	361
NP_011386.2	NP_011848.1	binding	361
NP_011987.1	NP_012655.3	binding	212
NP_009359.1	NP_014855.3	binding	560
NP_014451.1	NP_015232.1	binding	914
NP_012466.1	NP_012426.1	binding	985
NP_013204.1	NP_014126.1	binding	900
NP_013777.1	NP_013967.1	binding	499
NP_010772.1	NP_012505.1	binding	976
NP_010938.1	NP_011651.3	binding	985
NP_012989.3	NP_015113.1	binding	847
NP_010326.1	NP_012727.1	binding	495
NP_010330.1	NP_011075.3	binding	921
NP_011848.1	NP_013544.1	binding	290
NP_010938.1	NP_011748.3	binding	985
NP_013126.1	NP_013370.1	binding	990
NP_010002.3	NP_014451.1	binding	787
NP_010888.1	NP_015107.1	binding	967
NP_116654.1	NP_011344.1	binding	911
NP_012584.3	NP_015111.1	binding	975
NP_012727.1	NP_013737.1	binding	574
NP_011547.3	NP_012481.3	binding	900
NP_012035.1	NP_012845.1	binding	426
NP_011903.1	NP_013737.1	binding	268
NP_009530.1	NP_015488.1	binding	990
NP_012122.3	NP_015091.1	binding	903
NP_013847.1	NP_015470.1	binding	985
NP_013298.1	NP_015282.1	binding	565
NP_116710.1	NP_015085.1	binding	197
NP_013126.1	NP_013924.1	binding	971
NP_010321.1	NP_014785.3	binding	256
NP_012592.1	NP_013309.1	binding	957
NP_012481.3	NP_014414.3	binding	910
NP_014040.1	NP_015341.1	binding	608
NP_010498.1	NP_011639.3	binding	171
NP_011084.1	NP_014624.1	binding	536
NP_010624.3	NP_012727.1	binding	495
NP_011075.3	NP_014837.1	binding	985
NP_010345.3	NP_014289.1	binding	900
NP_011651.3	NP_012533.1	binding	985
NP_011519.3	NP_013703.1	binding	975
NP_014405.1	NP_014888.1	binding	726
NP_010167.1	NP_011343.1	binding	588
NP_009694.3	NP_013763.1	binding	625
NP_009694.3	NP_013763.1	binding	522
NP_010232.1	NP_015081.1	binding	787
NP_011836.1	NP_011987.1	binding	226
NP_011092.1	NP_013379.1	binding	155
NP_012169.1	NP_013894.1	binding	157
NP_010253.2	NP_012916.1	binding	910
NP_010624.3	NP_013737.1	binding	772
NP_010476.1	NP_116641.1	binding	900
NP_011645.3	NP_013218.1	binding	993
NP_010942.1	NP_011597.1	binding	921
NP_009810.3	NP_014434.1	binding	929
NP_009635.1	NP_011392.1	binding	922
NP_010770.3	NP_015261.1	binding	191
NP_010079.1	NP_013879.1	binding	267
NP_010476.1	NP_015348.1	binding	777
NP_010376.3	NP_015366.1	binding	602
NP_013963.1	NP_014493.1	binding	965
NP_015106.1	NP_015064.1	binding	868
NP_012426.1	NP_015107.1	binding	985
NP_011075.3	NP_015513.1	binding	947
NP_009872.1	NP_014221.3	binding	912
NP_012749.1	NP_013093.1	binding	911
NP_014248.3	NP_014400.1	binding	900
NP_010784.1	NP_013066.1	binding	900
NP_012035.1	NP_013218.1	binding	976
NP_012424.1	NP_013360.1	binding	351
NP_012124.1	NP_012520.1	binding	985
NP_014393.1	NP_014147.1	binding	951
NP_015147.1	NP_015419.1	binding	290
NP_010551.1	NP_014630.1	binding	220
NP_010326.1	NP_012472.1	binding	879
NP_116687.1	NP_013107.1	binding	296
NP_009755.1	NP_014580.1	binding	215
NP_010065.2	NP_011848.1	binding	232
NP_014192.1	NP_015313.1	binding	698
NP_011617.1	NP_015470.1	binding	963
NP_010692.3	NP_013703.1	binding	985
NP_012270.1	NP_014802.3	binding	565
NP_010818.1	NP_010890.3	binding	998
NP_013218.1	NP_015261.1	binding	271
NP_010653.1	NP_011957.1	binding	778
NP_012035.1	NP_013967.1	binding	919
NP_012332.1	NP_013379.1	binding	224
NP_011467.1	NP_015007.1	binding	985
NP_010296.3	NP_011314.2	binding	966
NP_013764.1	NP_015199.1	binding	900
NP_010718.1	NP_116635.1	binding	781
NP_010877.3	NP_012346.1	binding	153
NP_010624.3	NP_011736.1	binding	879
NP_010447.3	NP_010529.3	binding	274
NP_013379.1	NP_013777.1	binding	900
NP_011769.1	NP_012070.3	binding	985
NP_014221.3	NP_014619.1	binding	359
NP_014015.1	NP_014802.3	binding	985
NP_011519.3	NP_013105.1	binding	947
NP_012466.1	NP_015463.1	binding	985
NP_012346.1	NP_013109.1	binding	661
NP_009984.1	NP_013513.3	binding	985
NP_009984.1	NP_012535.3	binding	985
NP_116635.1	NP_011760.3	binding	439
NP_010223.1	NP_013513.3	binding	900
NP_011314.2	NP_013376.1	binding	985
NP_010326.1	NP_010578.3	binding	157
NP_010626.1	NP_013847.1	binding	914
NP_013764.1	NP_015437.1	binding	976
NP_014624.1	NP_014712.2	binding	239
NP_010326.1	NP_014830.1	binding	576
NP_010304.3	NP_012540.3	binding	911
NP_012797.1	NP_014151.1	binding	966
NP_013727.1	NP_013764.1	binding	902
NP_011089.4	NP_015303.1	binding	902
NP_012592.1	NP_012912.1	binding	181
NP_009704.1	NP_014434.1	binding	929
NP_009712.1	NP_015458.1	binding	172
NP_011631.1	NP_012243.3	binding	290
NP_013617.1	NP_013956.1	binding	985
NP_009796.1	NP_011519.3	binding	218
NP_009840.3	NP_014353.1	binding	281
NP_013741.1	NP_014392.3	binding	925
NP_010529.3	NP_010652.3	binding	428
NP_010606.1	NP_011382.1	binding	155
NP_012196.1	NP_012331.1	binding	788
NP_012190.1	NP_015085.1	binding	197
NP_012242.1	NP_015262.1	binding	982
NP_013102.1	NP_015232.1	binding	900
NP_009369.1	NP_014117.1	binding	900
NP_012524.3	NP_013764.1	binding	957
NP_012865.1	NP_013697.1	binding	903
NP_010068.1	NP_011437.3	binding	741
NP_011832.1	NP_012742.1	binding	564
NP_010466.3	NP_013487.1	binding	297
NP_012845.1	NP_013298.1	binding	912
NP_010888.1	NP_015199.1	binding	968
NP_013967.1	NP_015432.1	binding	267
NP_010553.3	NP_011098.3	binding	191
NP_011372.3	NP_014214.1	binding	336
NP_012018.1	NP_012524.3	binding	900
NP_013103.1	NP_013298.1	binding	900
NP_011302.1	NP_014621.1	binding	362
NP_011309.1	NP_015354.1	binding	836
NP_010345.3	NP_010737.1	binding	749
NP_012300.3	NP_014448.1	binding	443
NP_011335.1	NP_014392.3	binding	373
NP_011335.1	NP_014392.3	binding	428
NP_013379.1	NP_013824.1	binding	219
NP_010079.1	NP_015141.1	binding	294
NP_015437.1	NP_015463.1	binding	900
NP_013107.1	NP_014608.1	binding	982
NP_014147.1	NP_014793.1	binding	879
NP_010376.3	NP_013109.1	binding	900
NP_013474.3	NP_014784.1	binding	280
NP_011519.3	NP_014867.1	binding	982
NP_009935.1	NP_015354.1	binding	207
NP_010692.3	NP_015513.1	binding	985
NP_010345.3	NP_013323.1	binding	749
NP_011520.2	NP_014802.3	binding	911
NP_013482.1	NP_014221.3	binding	400
NP_015341.1	NP_015469.1	binding	907
NP_011519.3	NP_012988.1	binding	892
NP_013705.1	NP_014221.3	binding	342
NP_009938.2	NP_014926.1	binding	406
NP_011726.1	NP_014793.1	binding	152
NP_010406.3	NP_014292.3	binding	197
NP_012332.1	NP_014113.1	binding	864
NP_010594.3	NP_014506.1	binding	996
NP_011568.3	NP_013834.1	binding	900
NP_012768.1	NP_013602.1	binding	448
NP_010611.3	NP_014633.1	binding	967
NP_010578.3	NP_014221.3	binding	446
NP_116654.1	NP_014849.3	binding	720
NP_013924.1	NP_014357.1	binding	470
NP_014248.3	NP_014853.3	binding	900
NP_010079.1	NP_015312.1	binding	275
NP_010606.1	NP_015282.1	binding	216
NP_012395.1	NP_014802.3	binding	923
NP_012710.1	NP_015438.1	binding	579
NP_011303.1	NP_012725.1	binding	865
NP_010514.3	NP_011092.1	binding	618
NP_011956.1	NP_015113.1	binding	963
NP_009872.1	NP_012949.1	binding	513
NP_015317.1	NP_015303.1	binding	236
NP_011472.1	NP_012332.1	binding	229
NP_013987.1	NP_014003.1	binding	296
NP_010877.3	NP_014902.3	binding	620
NP_010447.3	NP_011437.3	binding	274
NP_010460.1	NP_011392.1	binding	361
NP_013109.1	NP_014221.3	binding	336
NP_010372.3	NP_012749.1	binding	949
NP_010611.3	NP_014849.3	binding	720
NP_012942.3	NP_014003.1	binding	268
NP_013230.1	NP_015107.1	binding	985
NP_010330.1	NP_014151.1	binding	317
NP_010946.3	NP_116636.1	binding	996
NP_012040.1	NP_013093.1	binding	900
NP_013105.1	NP_014986.3	binding	230
NP_010017.2	NP_116625.1	binding	793
NP_011084.1	NP_013500.3	binding	192
NP_010115.1	NP_013963.1	binding	226
NP_116629.1	NP_011987.1	binding	177
NP_013809.1	NP_014756.3	binding	615
NP_010476.1	NP_011613.3	binding	943
NP_116659.1	NP_116710.1	binding	985
NP_010498.1	NP_014670.1	binding	584
NP_010125.1	NP_011302.1	binding	235
NP_012544.1	NP_013749.1	binding	260
NP_011859.1	NP_014262.3	binding	928
NP_009793.1	NP_014579.1	binding	537
NP_009712.1	NP_010621.1	binding	206
NP_011037.3	NP_012203.1	binding	428
NP_013007.1	NP_014224.2	binding	419
NP_010132.1	NP_011335.1	binding	615
NP_013064.1	NP_014015.1	binding	993
NP_011504.3	NP_012190.1	binding	985
NP_011092.1	NP_014221.3	binding	940
NP_010551.1	NP_013292.1	binding	985
NP_011859.1	NP_014093.1	binding	928
NP_009551.2	NP_010372.3	binding	448
NP_012175.1	NP_013513.3	binding	985
NP_013248.1	NP_014382.1	binding	633
NP_010665.3	NP_012655.3	binding	797
NP_010692.3	NP_010946.3	binding	911
NP_009637.1	NP_010621.1	binding	232
NP_012435.1	NP_013408.1	binding	966
NP_009704.1	NP_011903.1	binding	830
NP_012535.3	NP_014633.1	binding	968
NP_011562.1	NP_014547.1	binding	929
NP_012346.1	NP_012916.1	binding	295
NP_011037.3	NP_015261.1	binding	256
NP_011760.3	NP_014328.3	binding	378
NP_011392.1	NP_011568.3	binding	916
NP_013218.1	NP_014382.1	binding	260
NP_009694.3	NP_015089.1	binding	206
NP_014434.1	NP_014527.1	binding	697
NP_011517.1	NP_014904.3	binding	267
NP_011472.1	NP_012865.1	binding	505
NP_116654.1	NP_011604.3	binding	911
NP_010462.3	NP_012036.1	binding	256
NP_011748.3	NP_011892.1	binding	985
NP_012151.1	NP_015156.1	binding	694
NP_009811.3	NP_014717.2	binding	343
NP_009551.2	NP_015470.1	binding	981
NP_009694.3	NP_014126.1	binding	640
NP_009694.3	NP_014126.1	binding	522
NP_116666.1	NP_013930.1	binding	900
NP_010359.1	NP_012889.3	binding	236
NP_009796.1	NP_116636.1	binding	274
NP_013175.1	NP_015282.1	binding	900
NP_010674.3	NP_011098.3	binding	236
NP_009369.1	NP_009726.3	binding	900
NP_009530.1	NP_015324.1	binding	808
NP_012725.1	NP_014718.1	binding	963
NP_010128.1	NP_011661.2	binding	720
NP_013764.1	NP_014338.3	binding	900
NP_014499.2	NP_014643.1	binding	985
NP_010376.3	NP_014289.1	binding	900
NP_011903.1	NP_015312.1	binding	822
NP_011778.1	NP_011946.1	binding	183
NP_013866.1	NP_015006.3	binding	994
NP_010618.1	NP_013564.1	binding	984
NP_012535.3	NP_013323.1	binding	985
NP_116615.1	NP_011966.1	binding	307
NP_011447.1	NP_013879.1	binding	275
NP_010133.1	NP_014849.3	binding	860
NP_011562.1	NP_015316.1	binding	904
NP_010578.3	NP_011392.1	binding	183
NP_011392.1	NP_014221.3	binding	985
NP_009551.2	NP_012823.2	binding	950
NP_013323.1	NP_013513.3	binding	985
NP_011309.1	NP_012659.1	binding	937
NP_014853.3	NP_015203.1	binding	985
NP_010236.1	NP_013714.1	binding	183
NP_012039.1	NP_012535.3	binding	963
NP_009917.1	NP_014292.3	binding	787
NP_010330.1	NP_012865.1	binding	319
NP_012443.1	NP_015089.1	binding	307
NP_013109.1	NP_014013.1	binding	224
NP_012243.3	NP_012865.1	binding	985
NP_010460.1	NP_010624.3	binding	982
NP_010254.1	NP_010304.3	binding	206
NP_010281.1	NP_013487.1	binding	296
NP_014633.1	NP_015199.1	binding	967
NP_009404.1	NP_013763.1	binding	905
NP_009404.1	NP_013763.1	binding	522
NP_011308.1	NP_014587.1	binding	660
NP_011736.1	NP_012923.3	binding	709
NP_012431.1	NP_013108.1	binding	982
NP_011386.2	NP_014214.1	binding	774
NP_011437.3	NP_014015.1	binding	216
NP_010770.3	NP_011037.3	binding	194
NP_014271.3	NP_014074.1	binding	161
NP_012864.1	NP_015432.1	binding	951
NP_010938.1	NP_013618.1	binding	985
NP_116659.1	NP_012154.1	binding	266
NP_012749.1	NP_013007.1	binding	900
NP_116708.1	NP_014003.1	binding	274
NP_010888.1	NP_011568.3	binding	248
NP_009667.1	NP_011517.1	binding	175
NP_010254.1	NP_014802.3	binding	922
NP_010888.1	NP_014802.3	binding	985
NP_012533.1	NP_015428.1	binding	985
NP_014986.3	NP_015435.1	binding	967
NP_010339.1	NP_012903.1	binding	272
NP_012520.1	NP_013298.1	binding	522
NP_012123.1	NP_015350.1	binding	985
NP_009551.2	NP_012175.1	binding	905
NP_011472.1	NP_014837.1	binding	408
NP_011617.1	NP_012524.3	binding	957
NP_010012.1	NP_010676.1	binding	830
NP_116636.1	NP_014113.1	binding	634
NP_009701.3	NP_012916.1	binding	336
NP_011736.1	NP_013011.1	binding	632
NP_010784.1	NP_013764.1	binding	900
NP_011472.1	NP_011519.3	binding	972
NP_010624.3	NP_014830.1	binding	571
NP_012017.1	NP_014793.1	binding	264
NP_011098.3	NP_012865.1	binding	973
NP_013703.1	NP_015487.1	binding	575
NP_009645.1	NP_011457.1	binding	951
NP_010277.1	NP_011748.3	binding	985
NP_014837.1	NP_015203.1	binding	985
NP_009365.1	NP_010345.3	binding	900
NP_116699.3	NP_014896.3	binding	248
NP_009917.1	NP_014132.1	binding	268
NP_011651.3	NP_011769.1	binding	985
NP_012875.2	NP_015089.1	binding	202
NP_014359.3	NP_015435.1	binding	921
NP_011645.3	NP_013847.1	binding	213
NP_015435.1	NP_015513.1	binding	969
NP_009545.2	NP_012674.1	binding	968
NP_014382.1	NP_014148.1	binding	698
NP_010676.1	NP_014156.2	binding	733
NP_011617.1	NP_014565.2	binding	900
NP_012466.1	NP_012949.1	binding	513
NP_009810.3	NP_013230.1	binding	192
NP_009694.3	NP_011392.1	binding	206
NP_010888.1	NP_116660.1	binding	896
NP_010330.1	NP_014248.3	binding	900
NP_010770.3	NP_013633.1	binding	191
NP_116659.1	NP_116708.1	binding	985
NP_011053.1	NP_013811.1	binding	588
NP_010345.3	NP_014788.1	binding	720
NP_009701.3	NP_010888.1	binding	306
NP_013703.1	NP_014496.2	binding	887
NP_009806.3	NP_014192.1	binding	952
NP_010946.3	NP_011092.1	binding	823
NP_012123.1	NP_012809.1	binding	273
NP_011903.1	NP_014527.1	binding	702
NP_010276.3	NP_014244.1	binding	223
NP_012472.1	NP_014830.1	binding	571
NP_010426.1	NP_013292.1	binding	982
NP_012070.3	NP_012435.1	binding	270
NP_014113.1	NP_015111.1	binding	854
NP_012501.1	NP_015463.1	binding	752
NP_012056.1	NP_012892.1	binding	503
NP_116708.1	NP_011769.1	binding	985
NP_011277.1	NP_015069.1	binding	651
